course code, credit units, NO of students,NO of units Registered, NO of Students, level 
BME201,3,55,18,8,2
BME202,2,65,20,5,2
BME203,3,60,22,10,2
MEE201,3,56,24,7,2
BME202,2,50,0,0,2
BME201,3,51,0,0,2
MEE204,2,63,0,0,2
BME101,3,55,18,8,1
BME102,2,65,20,5,1
BME103,3,60,22,10,1
MEE101,3,56,24,7,1
BME102,2,40,0,0,1
BME101,3,51,0,0,1
MEE104,2,60,0,0,1
MEE106,3,43,0,0,1
BME301,3,55,20,10,3
BME302,2,65,23,7,3
BME303,3,63,18,10,3
MEE301,3,56,24,7,3
BME302,2,54,0,0,3
BME301,3,51,0,0,3
MEE304,2,63,0,0,3
MEE306,3,43,0,0,3
BME401,4,55,20,10,4
BME402,2,65,23,7,4
BME403,3,63,18,10,4
MEE401,2,56,24,7,4
BME402,2,64,0,0,4
BME401,3,52,0,0,4
MEE404,2,56,0,0,4
MEE406,3,43,0,0,4
