course code, credit units, NO of students,NO of units Registered, NO of Students, level 
CSC201,3,55,18,8,2
CSC202,2,65,20,5,2
CSC203,3,60,22,10,2
CSE201,3,56,24,7,2
CSC202,2,50,0,0,2
CSC201,3,51,0,0,2
CSE204,2,63,0,0,2
CSC101,3,55,18,8,1
CSC102,2,65,20,5,1
CSC103,3,60,22,10,1
CSE101,3,56,24,7,1
CSC102,2,40,0,0,1
CSC101,3,51,0,0,1
CSE104,2,60,0,0,1
CSE106,3,43,0,0,1
CSC301,3,55,20,10,3
CSC302,2,65,23,7,3
CSC303,3,63,18,10,3
CSE301,3,56,24,7,3
CSC302,2,54,0,0,3
CSC301,3,51,0,0,3
CSE304,2,63,0,0,3
CSE306,3,43,0,0,3
CSC401,4,55,20,10,4
CSC402,2,65,23,7,4
CSC403,3,63,18,10,4
CSE401,2,56,24,7,4
CSC402,2,64,0,0,4
CSC401,3,52,0,0,4
CSE404,2,56,0,0,4
CSE406,3,43,0,0,4

